"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.403695470E-1,4.756202698E-1,-3.670288324E-1,4.623886108E0,4.662751071E0
5.453869950E-1,3.712593913E-1,-6.884109974E-2,3.627543449E0,3.647141910E0
5.504044430E-1,1.309249997E-1,2.319862843E-1,2.619234085E0,2.632744990E0
5.554218910E-1,-1.224314570E-1,4.461514950E-1,1.704004288E0,1.765692847E0
5.604393390E-1,-3.320571780E-1,5.030465126E-1,8.815526962E-1,1.067919903E0
5.654567870E-1,-4.216490984E-1,4.324553013E-1,1.419782639E-1,6.204541701E-1
5.704742350E-1,-4.202733040E-1,2.347571850E-1,-5.579490662E-1,7.369177338E-1
5.754916830E-1,-3.381616175E-1,-3.913640976E-3,-1.246973038E0,1.292017938E0
5.805091310E-1,-2.481653243E-1,-2.549703121E-1,-2.006388187E0,2.037692186E0
5.855265260E-1,-1.946466863E-1,-4.513571262E-1,-2.840946198E0,2.883155543E0
5.905439220E-1,-2.315209210E-1,-6.025111675E-1,-3.669362068E0,3.725699885E0
5.955613180E-1,-3.310081959E-1,-7.225453854E-1,-4.544418335E0,4.613390972E0
6.005787140E-1,-4.749770164E-1,-8.347227573E-1,-5.533310890E0,5.616039054E0
6.055961100E-1,-7.028459311E-1,-9.572550058E-1,-6.583690166E0,6.689940639E0
6.106135060E-1,-9.779509306E-1,-1.093695760E0,-7.705543995E0,7.843976459E0
6.156309010E-1,-1.258473754E0,-1.199489594E0,-8.727227211E0,8.898709247E0
6.206482970E-1,-1.502091885E0,-1.248886347E0,-9.730899811E0,9.925039459E0
6.256656930E-1,-1.665747643E0,-1.277955770E0,-1.055482864E1,1.076161205E1
6.306830890E-1,-1.753268003E0,-1.279834151E0,-1.111870861E1,1.132861886E1
6.357004850E-1,-1.786651373E0,-1.314910412E0,-1.145219994E1,1.166507591E1
6.407178810E-1,-1.754043698E0,-1.410596251E0,-1.154163742E1,1.175907502E1
6.457352760E-1,-1.648868561E0,-1.613962054E0,-1.141615295E1,1.164698198E1
6.507526720E-1,-1.522384763E0,-1.809837461E0,-1.108070469E1,1.133027729E1
6.557700680E-1,-1.354895353E0,-1.970034838E0,-1.035815620E1,1.063053050E1
6.607874640E-1,-1.116295338E0,-2.148658037E0,-9.401250839E0,9.708056653E0
6.658048600E-1,-8.996638060E-1,-2.318188429E0,-8.477457047E0,8.834629055E0
6.708222560E-1,-7.078840733E-1,-2.469925404E0,-7.753575802E0,8.168204765E0
6.758396510E-1,-5.700448751E-1,-2.561610222E0,-7.118724823E0,7.587031119E0
6.808570470E-1,-5.025789738E-1,-2.546260118E0,-6.423769951E0,6.928264328E0
6.858744430E-1,-4.983906150E-1,-2.458482742E0,-5.581818104E0,6.119577105E0
6.908918390E-1,8.066701889E-2,-2.060633659E0,-3.444267273E0,4.014435862E0
6.959092350E-1,5.099389076E0,-2.078795433E-2,1.425226116E1,1.513707863E1
7.009266310E-1,6.579694271E0,9.017899036E-1,2.454622650E1,2.542877970E1
7.059440260E-1,3.026743174E0,7.049183846E-1,1.329321194E1,1.365165073E1
7.109614220E-1,4.134011269E-2,1.316501617E0,9.809047699E0,9.897085544E0
7.159788180E-1,-1.292348504E0,1.710812688E0,1.076418018E1,1.097563755E1
7.209962140E-1,-1.993633509E0,1.838994741E0,7.793713570E0,8.252178345E0
7.260136100E-1,-1.156183720E0,1.863155723E0,6.526429176E0,6.884939203E0
7.310310060E-1,-3.705083132E-1,1.559954286E0,6.926153183E0,7.109313026E0
7.360484010E-1,5.064490438E-1,1.163883328E0,7.641848564E0,7.746545328E0
7.410657970E-1,1.515895247E0,9.658193588E-1,8.013029099E0,8.212148365E0
7.460831930E-1,2.287147045E0,1.094536901E0,8.035109520E0,8.425677280E0
7.511005890E-1,2.657213688E0,1.477979660E0,7.846772194E0,8.415286229E0
7.561179850E-1,2.640240431E0,1.867412210E0,7.514750481E0,8.181049607E0
7.611353810E-1,2.230048656E0,1.932947278E0,7.134548187E0,7.720827678E0
7.661527760E-1,1.548392773E0,1.842266560E0,6.959571838E0,7.363905650E0
7.711701720E-1,1.040717840E0,1.604555130E0,6.764962196E0,7.030106991E0
7.761875680E-1,8.303890824E-1,1.238332868E0,6.594159126E0,6.760617494E0
7.812049640E-1,8.538557291E-1,8.619098663E-1,6.552894592E0,6.664261832E0
7.862223600E-1,9.659360051E-1,6.027463675E-1,6.436025620E0,6.535959098E0
7.912397560E-1,1.015946984E0,4.447588921E-1,6.129593849E0,6.229115467E0
7.962571510E-1,1.005426168E0,3.386769295E-1,5.629768372E0,5.728863392E0
8.012745470E-1,8.972341418E-1,2.358288765E-1,4.966063499E0,5.051972985E0
8.062919950E-1,7.408664227E-1,1.312255859E-1,4.225138664E0,4.291608084E0
8.113094430E-1,5.725261569E-1,-1.317846775E-2,3.474236488E0,3.521119005E0
8.163268910E-1,4.529137313E-1,-1.969144344E-1,2.727818489E0,2.772165192E0
8.213443390E-1,3.520081937E-1,-3.908264637E-1,1.923785210E0,1.994393298E0
8.263617870E-1,2.252595425E-1,-6.469887495E-1,1.062251091E0,1.264006995E0
8.313792350E-1,5.221917480E-2,-9.980701208E-1,1.671733856E-1,1.013320161E0
8.363966830E-1,-1.873011738E-1,-1.404917002E0,-8.331985474E-1,1.644108674E0
8.414141310E-1,-4.558876455E-1,-1.808787823E0,-1.948490143E0,2.697435962E0
8.464315780E-1,-8.017629981E-1,-2.179369926E0,-3.150167942E0,3.913570652E0
8.514490260E-1,-1.215806484E0,-2.509969711E0,-4.457702637E0,5.258255049E0
8.564664740E-1,-1.664795637E0,-2.774550915E0,-5.818937778E0,6.658056335E0
8.614839220E-1,-2.144387007E0,-2.961192131E0,-7.392386436E0,8.247086255E0
8.665013700E-1,-2.636718273E0,-3.091002226E0,-9.021012306E0,9.893697036E0
8.715188180E-1,-3.114346981E0,-3.170213461E0,-1.065826225E1,1.154763893E1
8.765362660E-1,-3.564067841E0,-3.195240259E0,-1.218131733E1,1.308803392E1
8.815537140E-1,-3.924354315E0,-3.133891106E0,-1.341972351E1,1.432867089E1
8.865711620E-1,-4.117469311E0,-3.035722733E0,-1.426523590E1,1.515473924E1
8.915886100E-1,-4.154706955E0,-2.969990492E0,-1.471467781E1,1.557575605E1
8.966060580E-1,-4.022850513E0,-3.006565332E0,-1.485068512E1,1.567691328E1
9.016235060E-1,-3.718405962E0,-3.105875492E0,-1.470291138E1,1.548058812E1
9.066409530E-1,-3.276347637E0,-3.204982281E0,-1.433420372E1,1.504911165E1
9.116584010E-1,-2.727652550E0,-3.341955423E0,-1.377833748E1,1.443784396E1
9.166758490E-1,-2.123100042E0,-3.492910862E0,-1.310706043E1,1.372963995E1
9.216932970E-1,-1.485740662E0,-3.591454268E0,-1.233904648E1,1.293669344E1
9.267107450E-1,-8.587563634E-1,-3.528318882E0,-1.141618538E1,1.197980740E1
9.317281930E-1,-2.050889134E-1,-3.386330128E0,-1.025607204E1,1.080260649E1
9.367456410E-1,4.835098386E-1,-3.243658066E0,-8.957934380E0,9.539375648E0
9.417630890E-1,1.215790510E0,-3.101922989E0,-7.601700306E0,8.299754233E0
9.467805370E-1,1.933367491E0,-2.919780254E0,-6.200208664E0,7.120787461E0
9.517979850E-1,2.582087755E0,-2.497874022E0,-4.364603043E0,5.652991378E0
9.568154330E-1,7.204916477E0,1.439206600E-1,1.262161541E1,1.453398466E1
9.618328810E-1,1.437189770E1,2.728959560E0,4.769620895E1,4.988914724E1
9.668503280E-1,1.288848495E1,3.329857111E0,3.416102600E1,3.666301529E1
9.718677760E-1,7.048595428E0,4.090942860E0,1.224556065E1,1.470959777E1
9.768852240E-1,1.982226849E0,4.107854366E0,5.566743851E0,7.196688674E0
9.819026720E-1,-9.274725914E-1,3.069889069E0,3.088219643E0,4.452137112E0
9.869201200E-1,-2.084717751E0,2.214159489E0,3.583565712E0,4.700052505E0
9.919375680E-1,-1.987034202E0,1.803740740E0,5.647279739E0,6.252483829E0
9.969550160E-1,-1.553863764E0,1.437239408E0,8.473772049E0,8.734126313E0
1.001972464E0,-7.614624500E-1,9.561924934E-1,1.073246002E1,1.080184370E1
1.006989912E0,6.476128101E-1,5.910474062E-1,1.138154984E1,1.141527118E1
1.012007360E0,2.047110319E0,4.017623663E-1,1.090139771E1,1.109921374E1
1.017024808E0,2.543311119E0,3.444209099E-1,1.021642017E1,1.053386436E1
1.022042256E0,2.405528545E0,4.810252190E-1,9.470376015E0,9.782943049E0
1.027059703E0,1.996889353E0,7.254778147E-1,8.859702110E0,9.110883965E0
1.032077151E0,1.449193478E0,8.767888546E-1,8.375212669E0,8.544770780E0
1.037094599E0,9.750289917E-1,9.923971891E-1,7.759137154E0,7.882876574E0
1.042112047E0,6.093541384E-1,9.815696478E-1,6.945332527E0,7.040769514E0
1.047129495E0,3.822872043E-1,8.641537428E-1,5.963253021E0,6.037656151E0
1.052146943E0,2.430012226E-1,6.411236525E-1,4.913887024E0,4.961489173E0
1.057164391E0,1.460971534E-1,3.277399540E-1,3.854952812E0,3.871617109E0
1.062181839E0,8.173733950E-3,-5.123996735E-2,2.800977707E0,2.801458274E0
1.067199287E0,-1.581057459E-1,-4.471673965E-1,1.709001541E0,1.773595888E0
