"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.466647030E-1,9.193982482E-1,-1.223300248E-1,2.881417274E0,3.027015574E0
6.516818380E-1,1.254851580E0,-2.481144667E-1,3.661602974E0,3.878601502E0
6.566989740E-1,7.506129742E-1,-2.008868307E-1,3.413096428E0,3.500428914E0
6.617161090E-1,1.638194621E-1,-5.364114642E-1,2.079746246E0,2.154047011E0
6.667332450E-1,-4.871456027E-1,-6.850649118E-1,1.604500771E0,1.811366196E0
6.717503800E-1,-3.338463008E-1,-9.854070842E-2,1.335789680E0,1.380397658E0
6.767675160E-1,5.676097274E-1,6.355755329E-1,-1.304588318E0,1.558232248E0
6.817846510E-1,3.589971662E-1,6.379228830E-1,-2.664895535E0,2.763601415E0
6.868017860E-1,-8.478416204E-1,7.531043887E-2,-1.345602989E0,1.592216845E0
6.918189220E-1,-1.216271400E0,-2.858999372E-2,-7.888031006E-1,1.449946150E0
6.968360570E-1,-5.016671419E-1,3.236069679E-1,-1.763618469E0,1.861918767E0
7.018531930E-1,1.410026252E-1,3.566786945E-1,-2.192490101E0,2.225783968E0
7.068703280E-1,8.997216821E-3,-7.043838501E-3,-9.711303711E-1,9.711975923E-1
7.118874630E-1,-2.451460660E-1,-2.127031535E-1,7.126064301E-1,7.830371315E-1
7.169045990E-1,8.563667536E-3,-1.530874819E-1,1.414021492E0,1.422310055E0
7.219217340E-1,4.458234906E-1,9.498804808E-3,1.081809998E0,1.170111825E0
7.269388700E-1,5.109115839E-1,-4.476526380E-2,7.885236740E-1,9.406402925E-1
7.319560050E-1,1.457066089E-1,-2.020777613E-1,1.433208466E0,1.454700087E0
7.369731410E-1,-2.892926335E-3,-2.341077477E-1,1.613429070E0,1.630327626E0
7.419902760E-1,2.779383659E-1,-9.199796617E-2,6.266899109E-1,6.917034086E-1
7.470074110E-1,2.935149372E-1,-1.176366210E-2,-5.691804886E-1,6.405121628E-1
7.520245470E-1,-1.929214150E-1,-5.904385448E-2,-6.971044540E-1,7.257130762E-1
7.570416820E-1,1.049162447E-1,-7.144087553E-1,-3.450485706E0,3.525228914E0
7.620588180E-1,1.809813976E-1,-6.000073552E-1,-8.888238907E0,8.910306053E0
7.670759530E-1,-1.458415747E0,4.590226114E-1,1.596522331E0,2.210556899E0
7.720930880E-1,-1.012639552E-1,1.897330523E0,3.829505539E1,3.834216197E1
7.771102240E-1,1.123490334E0,8.577110767E-1,-2.647672176E0,3.001344161E0
7.821273590E-1,6.677620858E-2,-3.041228652E-1,-9.115636826E0,9.120953049E0
7.871444950E-1,-2.172820419E-1,-4.962890744E-1,-9.664475441E0,9.679648748E0
7.921616300E-1,-1.842670441E0,-1.274995804E0,-1.008827305E1,1.033413285E1
