"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.352780810E-1,4.833474755E-3,-3.573112190E-2,1.821136475E-2,4.039466990E-2
5.402953730E-1,-4.724726081E-3,-2.590575814E-2,8.562088013E-3,2.769008293E-2
5.453126640E-1,-4.655689001E-3,-3.040872514E-2,3.742218018E-3,3.098984028E-2
5.503299560E-1,-9.284183383E-3,-2.542872727E-2,-1.035690308E-3,2.709038364E-2
5.553472480E-1,-4.481181502E-3,-2.998816967E-2,-1.052379608E-2,3.209550735E-2
5.603645390E-1,-4.518240690E-3,-2.496108413E-2,-5.689620972E-3,2.599696149E-2
5.653818310E-1,-9.354054928E-3,-2.947193384E-2,-8.964538574E-4,3.093374949E-2
5.703991230E-1,-4.652574658E-3,-2.919669449E-2,3.856658936E-3,2.981555363E-2
5.754164140E-1,4.809781909E-3,-1.942674816E-2,3.822326660E-3,2.037505158E-2
5.804337060E-1,-6.854534149E-7,-1.923520863E-2,3.789901733E-3,1.960501483E-2
5.854509980E-1,4.778429866E-3,-3.328983486E-2,8.506774902E-3,3.469022508E-2
5.904682890E-1,9.465217590E-3,-4.247976840E-2,-1.062393188E-3,4.353446619E-2
5.954855810E-1,1.416547596E-2,-4.209518433E-2,8.443832397E-3,4.521021520E-2
6.005028730E-1,1.412864029E-2,-2.752079070E-2,-5.869865417E-3,3.148758036E-2
6.055201640E-1,-2.049356699E-4,-2.731335163E-2,8.425712585E-3,2.858415310E-2
6.105374560E-1,9.269967675E-3,-3.660655022E-2,-1.141548157E-3,3.777929263E-2
6.155547480E-1,-5.076572299E-3,-3.627376258E-2,1.311206818E-2,3.890351874E-2
6.205720390E-1,-5.058065057E-3,-3.594374657E-2,3.504753113E-3,3.646670034E-2
6.255893310E-1,-2.902299166E-4,-3.561553359E-2,8.223533630E-3,3.655375455E-2
6.306066230E-1,4.437848926E-3,-3.529006243E-2,8.153915405E-3,3.649067478E-2
6.356239140E-1,-3.695189953E-4,-3.021784127E-2,3.336906433E-3,3.040377312E-2
6.406412060E-1,-3.377199173E-4,-2.998888493E-2,-6.186485291E-3,3.062221210E-2
6.456584980E-1,9.191751480E-3,-4.400637746E-2,-1.385688782E-3,4.497743529E-2
6.506757890E-1,4.395365715E-3,-3.416551650E-2,3.375053406E-3,3.461203176E-2
6.556930810E-1,-4.125833511E-4,-3.860062361E-2,1.284313202E-2,4.068322023E-2
6.607103730E-1,-5.128934979E-3,-1.925627887E-2,7.987976074E-3,2.146900118E-2
6.657276640E-1,4.441410303E-3,-1.911675930E-2,-1.574516296E-3,1.968897441E-2
6.707449560E-1,-9.810492396E-3,-2.367536724E-2,-1.561164856E-3,2.567500751E-2
6.757622480E-1,-9.750619531E-3,-2.824848890E-2,3.200531006E-3,3.005486825E-2
6.807795390E-1,-1.438818872E-2,-1.853798330E-2,-1.573562622E-3,2.351920277E-2
6.857968310E-1,-9.542614222E-3,-2.790336311E-2,-1.560211182E-3,2.953122784E-2
6.908141230E-1,-4.685848951E-3,-2.764214575E-2,3.201484680E-3,2.821869782E-2
6.958314140E-1,-4.667758942E-3,-2.738119662E-2,-1.582050323E-2,3.196570388E-2
7.008487060E-1,-9.450778365E-3,-2.237486839E-2,-1.569080353E-2,2.891631482E-2
7.058659980E-1,4.903137684E-3,-1.271331310E-2,-6.062507629E-3,1.491385557E-2
7.108832890E-1,1.959353685E-4,-2.212530375E-2,-1.261711121E-3,2.216211568E-2
7.159005810E-1,2.239644527E-4,-3.145983815E-2,-5.998611450E-3,3.202740882E-2
7.209178730E-1,4.948705435E-3,-3.116802871E-2,8.296012878E-3,3.263065321E-2
7.259351640E-1,-4.559889436E-3,-2.618169785E-2,8.227348328E-3,2.782019328E-2
