"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.710338210E-1,-6.657897611E-4,-1.065263641E-3,1.065263641E-3,1.647072936E-3
2.735424150E-1,-6.657897611E-4,-2.130527282E-3,0.000000000E0,2.232134070E-3
2.760510080E-1,-6.657897611E-4,-1.065263641E-3,0.000000000E0,1.256209629E-3
2.785596020E-1,-6.657897611E-4,-1.065263641E-3,1.065263641E-3,1.647072936E-3
2.810681960E-1,-6.657897611E-4,-0.000000000E0,0.000000000E0,6.657897611E-4
2.835767900E-1,3.994738800E-4,-1.065263641E-3,-1.065263641E-3,1.558573909E-3
2.860853830E-1,-6.657897611E-4,-0.000000000E0,0.000000000E0,6.657897611E-4
2.885939770E-1,-6.657897611E-4,1.065263641E-3,0.000000000E0,1.256209629E-3
2.911025710E-1,-1.731053460E-3,1.065263641E-3,0.000000000E0,2.032568008E-3
2.936111650E-1,3.994738800E-4,1.065263641E-3,-1.065263641E-3,1.558573909E-3
2.961197580E-1,2.530001104E-3,-0.000000000E0,0.000000000E0,2.530001104E-3
2.986283520E-1,1.464737463E-3,1.065263641E-3,0.000000000E0,1.811143964E-3
3.011369460E-1,3.994738800E-4,-0.000000000E0,1.065263641E-3,1.137702072E-3
3.036455400E-1,3.994738800E-4,-0.000000000E0,2.130527282E-3,2.167654465E-3
3.061541330E-1,-6.657897611E-4,-0.000000000E0,0.000000000E0,6.657897611E-4
3.086627270E-1,-1.731053460E-3,-0.000000000E0,0.000000000E0,1.731053460E-3
3.111713210E-1,-6.657897611E-4,-0.000000000E0,0.000000000E0,6.657897611E-4
3.136799150E-1,3.994738800E-4,-0.000000000E0,0.000000000E0,3.994738800E-4
3.161885080E-1,3.994738800E-4,-0.000000000E0,0.000000000E0,3.994738800E-4
3.186971020E-1,3.994738800E-4,-0.000000000E0,1.065263641E-3,1.137702072E-3
3.212056960E-1,3.994738800E-4,1.065263641E-3,0.000000000E0,1.137702072E-3
3.237142900E-1,3.994738800E-4,-0.000000000E0,-1.065263641E-3,1.137702072E-3
3.262228310E-1,3.994738800E-4,1.065263641E-3,-1.065263641E-3,1.558573909E-3
3.287313730E-1,-6.657897611E-4,1.065263641E-3,0.000000000E0,1.256209629E-3
3.312399150E-1,1.464737463E-3,-1.065263641E-3,-1.065263641E-3,2.101197060E-3
3.337484560E-1,3.994738800E-4,-1.065263641E-3,-1.065263641E-3,1.558573909E-3
3.362569980E-1,3.994738800E-4,-0.000000000E0,-1.065263641E-3,1.137702072E-3
3.387655400E-1,-6.657897611E-4,1.065263641E-3,-1.065263641E-3,1.647072936E-3
3.412740810E-1,-6.657897611E-4,-0.000000000E0,-1.065263641E-3,1.256209629E-3
3.437826230E-1,3.994738800E-4,-0.000000000E0,0.000000000E0,3.994738800E-4
3.462911650E-1,1.464737463E-3,1.065263641E-3,1.065263641E-3,2.101197060E-3
3.487997060E-1,3.994738800E-4,1.065263641E-3,0.000000000E0,1.137702072E-3
3.513082480E-1,-6.657897611E-4,-0.000000000E0,0.000000000E0,6.657897611E-4
